"","Year","Country...territory.of.asylum.residence","Origin","Population.type","Value"
"1",1951,"Australia","Various/Unknown","Refugees (incl. refugee-like situations)","180000"
"2",1951,"Austria","Various/Unknown","Refugees (incl. refugee-like situations)","282000"
"3",1951,"Belgium","Various/Unknown","Refugees (incl. refugee-like situations)","55000"
"4",1951,"Canada","Various/Unknown","Refugees (incl. refugee-like situations)","168511"
"5",1951,"Switzerland","Various/Unknown","Refugees (incl. refugee-like situations)","10000"
"6",1951,"Germany","Various/Unknown","Refugees (incl. refugee-like situations)","265000"
"7",1951,"Denmark","Various/Unknown","Refugees (incl. refugee-like situations)","2000"
"8",1951,"Spain","Various/Unknown","Refugees (incl. refugee-like situations)","2000"
"9",1951,"France","Various/Unknown","Refugees (incl. refugee-like situations)","290000"
"10",1951,"United Kingdom","Various/Unknown","Refugees (incl. refugee-like situations)","208000"
"11",1951,"Greece","Various/Unknown","Refugees (incl. refugee-like situations)","18000"
"12",1951,"China, Hong Kong SAR","Various/Unknown","Refugees (incl. refugee-like situations)","30000"
"13",1951,"Italy","Various/Unknown","Refugees (incl. refugee-like situations)","26500"
"14",1951,"Luxembourg","Various/Unknown","Refugees (incl. refugee-like situations)","1800"
"15",1951,"Morocco","Various/Unknown","Refugees (incl. refugee-like situations)","3000"
"16",1951,"Netherlands","Various/Unknown","Refugees (incl. refugee-like situations)","14200"
"17",1951,"Norway","Various/Unknown","Refugees (incl. refugee-like situations)","2500"
"18",1951,"Sweden","Various/Unknown","Refugees (incl. refugee-like situations)","44000"
"19",1951,"Tunisia","Various/Unknown","Refugees (incl. refugee-like situations)","2000"
"20",1951,"Turkey","Various/Unknown","Refugees (incl. refugee-like situations)","2700"
"21",1951,"United States of America","Various/Unknown","Refugees (incl. refugee-like situations)","350000"
"22",1952,"Austria","Various/Unknown","Refugees (incl. refugee-like situations)","238200"
"23",1952,"Belgium","Various/Unknown","Refugees (incl. refugee-like situations)","53500"
"24",1952,"Canada","Various/Unknown","Refugees (incl. refugee-like situations)","154828"
"25",1952,"Switzerland","Various/Unknown","Refugees (incl. refugee-like situations)","9800"
"26",1952,"Germany","Various/Unknown","Refugees (incl. refugee-like situations)","240000"
"27",1952,"Denmark","Various/Unknown","Refugees (incl. refugee-like situations)","1800"
"28",1952,"France","Various/Unknown","Refugees (incl. refugee-like situations)","280000"
"29",1952,"United Kingdom","Various/Unknown","Refugees (incl. refugee-like situations)","200000"
"30",1952,"Greece","Various/Unknown","Refugees (incl. refugee-like situations)","19000"
"31",1952,"Italy","Various/Unknown","Refugees (incl. refugee-like situations)","25500"
"32",1952,"Luxembourg","Various/Unknown","Refugees (incl. refugee-like situations)","1800"
"33",1952,"Morocco","Various/Unknown","Refugees (incl. refugee-like situations)","2900"
"34",1952,"Netherlands","Various/Unknown","Refugees (incl. refugee-like situations)","14100"
"35",1952,"Norway","Various/Unknown","Refugees (incl. refugee-like situations)","2500"
"36",1952,"Sweden","Various/Unknown","Refugees (incl. refugee-like situations)","42000"
"37",1952,"Turkey","Various/Unknown","Refugees (incl. refugee-like situations)","2000"
"38",1952,"United States of America","Various/Unknown","Refugees (incl. refugee-like situations)","500000"
"39",1953,"Austria","Various/Unknown","Refugees (incl. refugee-like situations)","215200"
"40",1953,"Belgium","Various/Unknown","Refugees (incl. refugee-like situations)","53000"
"41",1953,"Canada","Various/Unknown","Refugees (incl. refugee-like situations)","107004"
"42",1953,"Switzerland","Various/Unknown","Refugees (incl. refugee-like situations)","9500"
"43",1953,"Germany","Various/Unknown","Refugees (incl. refugee-like situations)","228000"
"44",1953,"Denmark","Various/Unknown","Refugees (incl. refugee-like situations)","1600"
"45",1953,"France","Various/Unknown","Refugees (incl. refugee-like situations)","270000"
"46",1953,"United Kingdom","Various/Unknown","Refugees (incl. refugee-like situations)","192000"
"47",1953,"Greece","Various/Unknown","Refugees (incl. refugee-like situations)","18500"
"48",1953,"Italy","Various/Unknown","Refugees (incl. refugee-like situations)","24500"
"49",1953,"Luxembourg","Various/Unknown","Refugees (incl. refugee-like situations)","1800"
